id,label,description,rights,meta.Agent,meta.Alt Text,meta.Cultural Context,meta.Date,meta.Location: Current,meta.Location: Place of Origin,meta.Rights,meta.Style Period,meta.Subject,Meta.Worktype
000159,Chardin: Self-Portrait with Spectacles,"A pastel on paper self-portrait done by the artist. Chardin portrays himself wearing spectacles, or eyeshades. His hair is wrapped in a scarf, and a pink patterned scarf is tied around his neck.",Public Domain Wikimedia Commons,Jean Baptiste Siméon Chardin,Man wears spectacles and looks at the viewer at a 3/4 angle.,"Northern and Western European, French, Genre painting",CE 1771,"Louvre Museum, Paris, France","Paris, France",Public Domain Wikimedia Commons,18th Century CE,self portrait,Drawings
000160,Chardin: Soap Bubbles,This oil on canvas painting depicts a boy blowing a bubble while a younger boy looks on. They are framed in the portrait through a rectangular stone windowsill.,Public Domain Metropolitan Museum of Art,Jean Baptiste Siméon Chardin,Two young boys blow a bubble out of a stone windowsill.,"Northern and Western European, French, Genre painting",CE 1733-1734,"The Metropolitan Museum of Art, New York, NY, USA","Paris, France",Public Domain Metropolitan Museum of Art,18th Century CE,"bubbles, child",Painting
000161,Chardin: The Young Schoolmistress,This oil on canvas portrait shows a young child being taught by an older girl. This is likely a private lesson despite the painting's title.,Public Domain Wikimedia Commons,Jean Baptiste Siméon Chardin,A young child sits at a table and an older girl teaches them.,"Northern and Western European, French, Genre painting",CE 1736-1737,"The National Gallery, London, United Kingdom","Paris, France",Public Domain Wikimedia Commons,18th Century CE,"children, education",Painting
000162,Chartres -- Central Bay,"The tympanum of the central portal on the west façade of Chartres Cathedral, shows a large figure of Christ with a nimbus enthroned in a mandorla; he is surrounded by the symbols of the four evangelists (clockwise from the upper left, the angel = Matthew; the eagle = John; the winged Ox = Luke; and the winged lion = Mark). Below Christ is a row of smaller figures in niches on the lintel (each shown full-length); similar figures are carved in the three archivolts around the tympanum. ",CC BY-SA 3.0 © Guillaume Piolle,Unknown,"The tympanum of the central portal on the west facade of Chartres Cathedral, showing a large figure of Christ.","Northern and Western European, French, Christendom, Gothic",CE 1194-1220,"Chartres, France","Chartres, France",CC BY-SA 3.0 © Guillaume Piolle,"12-13th Century CE, Gothic",Christianity,Architecture
000163,Chartres -- South Portal Redeemed Souls,"Small sculptured figures stand  in niches of five nested archivolts; the figures represent redeemed souls at the last judgment. In the lower set of niches, souls are shown as naked infants being embraced by winged angels, some individually, some in groups; two of the infant souls wear crowns. The higher row of niches in the image shows clusters of souls, naked from the waist up, their hands clasped in prayer. They turn their heads toward the center tympanum.",CC BY-SA 3.0 photo TTaylor 2005,Unknown,"Small sculptured figures of redeemed souls at the Last Judgment, from Chartres Cathedral.","Northern and Western European, French, Christendom, Gothic",CE 1194-1220,"Chartres, France","Chartres, France",CC BY-SA 3.0 photo TTaylor 2005,"12-13th Century CE, Gothic",Christianity,"Architecture, Sculpture"
000164,Chartres -- South Rose Window,"This large set of stained glass windows is in the predominant colors of red, blue, purple, green, yellow, and brown. Above a row of five lancet shaped windows showing the Virgin Mary (center) flanked by the Four Evangelists and prophets from the Hebrew Bible, there is a large circular window. At its center, in a round frame, is an image of Jesus making a gesture of blessing; concentric rows of round frames surround Jesus; the first shows angels and the Four Evangelists; the second and third show the Elders of the Apocalypse. Four-lobed decorative forms are interspersed between the second and third rows, and many circular embellishments accompany each of the roundels in which the images are inscribed.",CC BY-SA 3.0 Ludwig Schneider,Unknown,Large set of stained glass windows from Chartres Cathedral showing Biblical scenes and figures.,"Northern and Western European, French, Christendom, Gothic",CE 1221-1300,"Chartres, France","Chartres, France",CC BY-SA 3.0 Ludwig Schneider,"13th Century CE, Gothic",Christianity,Architecture
000165,Chartres -- View from Southeast,"A view of Chartres Cathedral from the southwest, showing how it rises above the structures around it. Flying buttresses can be seen supporting the walls of the choir (in the foreground); the middle of the image shows the apse, with a large rose window on its south façade; behind this, one sees the flying buttresses that support the nave, with the north and south towers in the upper and lower left of the image, respectively.",CC BY-SA 3.0 Olvr,Unknown,A view of Chartre Cathedral from the southwest; flying buttresses can be seen supporting the walls of the choir and nave.,"Northern and Western European, French, Christendom, Gothic",CE 1194-1220,"Chartres, France","Chartres, France",CC BY-SA 3.0 Olvr,"12-13th Century CE, Gothic",Christianity,Architecture
000166,Chartres -- Window Notre Dame de la belle verrière,"Lancet-shaped stained glass window in the predominant colors of red, purple, blue, white and brown are separated into 22 square frames by black bars; the four top center frames show the Virgin Mary with Christ posed on her lap, looking straight at the viewer; the Holy Spirit in the shape of a dove hovers above them. Nine rectangular frames in rows of three on the bottom of the window show scenes from the life of Christ; a row of three frames showing angels is directly below the Virgin and Child, who are flanked by six frames showing angels.",Public Domain Eusebius (Guillaume Piolle),Unknown,Lancet-shaped stained glass window from Chartres Cathedral.,"Northern and Western European, French, Christendom, Gothic",CE 1180,"Chartres, France","Chartres, France",Public Domain Eusebius (Guillaume Piolle),"12th Century CE, Gothic",Christianity,Architecture
000167,Chauvet Cave Paintings,Drawings of lions on a cave wall. The drawings suggest the lions are running.,Public Domain,Unknown,Drawings of lions on a cave wall. The drawings suggest the lions are running.,"Northern and Western European, French, Pre-historical, Paleolithic",BCE 35000,Southern France,Southern France,Public Domain,Paleolithic,lions,Painting
000168,Cheekpiece from a Horse Bit showing a crowned human figure gripping two griffins,"This bronze relief shows a human figure, crowned and bearded, facing the viewer, standing on two dead rabbits, and gripping the forelegs of two winged griffins on either side with his hands, who face the viewer with open, fanged mouths.",Public Domain,Unknown,"Bronze relief of a human figure, crowned and bearded, facing the viewer, standing on two dead rabbits.","Middle Eastern, Mesopotamian, Luristan",BCE 800,Los Angeles County Museum of Art,Ancient Near East,Public Domain,"9th Century BCE, Mesopotamian",Luristan bronze,Metalwork
000169,Chhatrapati Shivaji Terminus Railway Station,"A large U-shaped building is festooned with dome, turrets, pointed arches, and ornaments.  A central tower topped with a dome and a clock are flanked on each side by colonnades and arched loggia.",CC BY-SA 3.0 Anunandusg,"Frederick William Stevens, Axel Haig","A large building decorated with columns, turrets, domes, and loggia features a clock tower.","South Asian, Indian, Gothic Revival",CE 1888,"Mumbai, India","Mumbai, India",CC BY-SA 3.0 Anunandusg,"19th Century CE, Gothic Revival","Gothic Revival, colonial",Architecture
000170,Christ as the Good Shepherd,"A shepherd dressed in a tunic stands with a sheep draped across his shoulders. He grips the lamb’s forelegs and hind legs with each hand. He wears leggings and sandals, and a bag hangs from a belt draped across his right shoulder and chest. The youth tilts his head slightly to the left. The sheep, whose wool is carved in rosettes of symmetrical rows, has turned its head backward, looking at its tail.",CC BY-NC-SA 3.0  Richard Stracke ,Unknown,A shepherd dressed in a tunic stands with a sheep draped across his shoulders.,"Ancient Roman, Christian Roman, Imperial Roman, Late Antiquity",CE 300-350,"Musei Vaticani, Rome","Rome, Italy",CC BY-NC-SA 3.0  Richard Stracke ,"4th Century BCE, Late Antiquity","Christ, lamb",Sculpture
000171,"Church of Our Lady Mary of Zion, rebuilt by Emperor Fasilides","A large rectangular building made of stone rests on a three-tiered pediment. Round-topped stone battlements line the roof. Three large arches span the short side of the building. Over the center arch rises a crown-shaped structure from the roofline. On the long side of the building are one tall square-topped doorway, two small arched doorways, and three arched windows. ",Free Art License 1.3 A.Savin ,Unknown,A large rectangular building made of stone shows round-topped stone battlements on the roofline. Three large arches span the short side of the building. ,"East African, Ethiopian",CE 300-400,"Axum, Ethiopia	","Axum, Ethiopia	",Free Art License 1.3 A.Savin ,4th Century CE,Christianity,Architecture
000172,Church of Sant Vicenç of Cardona,"The Church of Sant Vicenç of Cardona is on a hill, with a clear view of its general exterior design, including the apse.",CC BY-SA 3.0 Amadalvarez,Unknown,"The Church of Sant Vicenç of Cardona on a hill, with a clear view of its general exterior design, including the apse.","Southern European, Spanish, Christendom, Romanesque",CE 1019-1040,"Cardona, Catalonia, Spain","Cardona, Catalonia, Spain",CC BY-SA 3.0 Amadalvarez,"11th Century CE, Romanesque",Christianity,Architecture
000173,"Church of St George, roof",This is a ground-level view of the roof of the Bete Gyrgios (Church of St. George) showing the cross pattern of the rock-hewn building and its symmetrical design. A cross is incised into the roof to bring out the pattern more clearly.,CC BY-SA 3.0 © UNESCO Author: Francesco Bandarin,Unknown ,Ground-level view of the roof of the Bete Gyrgios (Church of St. George) showing the cross pattern of the rock-hewn building.,"East African, Ethiopian, Zagwe Dynasty",CE 1100-1225,"Lalibela, Ethiopia","Lalibela, Ethiopia",CC BY-SA 3.0 © UNESCO Author: Francesco Bandarin,"12-13th Century CE, Zagwe Dynasty",Ethiopian Christianity,Architecture
000174,"Church of St George, walls and base","This three story church is carved from solid rock, sunken into the ground so that its roof is parallel with the surrounding land. The church is built in the form of a cross with four equal-length arms, standing on a stone plinth. A stone staircase leads up to the main entrance, a rectangular portal inset between framing post and lintel forms; smaller rectangular portals appear on the other arms, with rectangular window-like niches on the walls. On the third story, each wall has one window set in an onion-like arch.",CC BY-SA 3.0 © UNESCO Author: Francesco Bandarin    ,Unknown ,"Rock-hewn church in the form of a cross, sunken into the ground so that its roof is parallel with the surrounding land.","East African, Ethiopian, Zagwe Dynasty",CE 1100-1225,"Lalibela, Ethiopia","Lalibela, Ethiopia",CC BY-SA 3.0 © UNESCO Author: Francesco Bandarin    ,"12-13th Century CE, Zagwe Dynasty",Ethiopian Christianity,Architecture
000175,Church: Heart of the Andes,"View of a mountain in the Andes, a waterfall in the right-center foreground; tiny human figures in the left foreground establish scale",Public Domain,Frederic Edwin Church,View of the Andes mountains,"American, Hudson River School, Romanticism",CE 1859,"The Metropolitan Museum of Art, New York, NY, USA","Andes Mountains, Ecuador",Public Domain,"19th Century CE, Romanticism","Andes, landscape",Painting
000176,"Church: Niagara Falls, from the American Side",This is a large-scale landscape painting representing Niagara Falls from the American side.,© Ad Meskens / Wikimedia Commons,Frederic Edwin Church,"A waterfall drapes down a mountainside, with a rainbow coming out of the mist.","American, Hudson River School, Romanticism",CE 1867,"Scottish National Gallery, Edinburgh, Scotland, United Kingdom","New York, United States",© Ad Meskens / Wikimedia Commons,"19th Century CE, Romanticism","Niagra Falls, landscape",Painting
000177,Claude Lorrain: Harbour at Sunrise,"This oil painting is of an imagined Italian harbor; in the foreground are workers and small boats, while the background shows the sun rising over the sea, framed by larger ships, a medieval tower, and a classical Roman arch.",Public Domain,Claude Lorrain,"Oil painting of an imagined Italian harbor, showing workers and small boats, larger ships, a medieval tower, and a classical Roman arch.","Southern European, Italian, Neoclassicism",CE 1637-1638,"Rijksmuseum, Amsterdam, Netherlands",Italy,Public Domain,"17th Century CE, Neoclassicism","harbor, cityscape",Painting
000178,Claude Lorrain: Jacob with Laban and His Daughters,"This oil painting is of Jacob negotiating with Laban over his daughters, Leah and Rachel; they stand by a herd of sheep amid an Italian landscape that dwarfs them.",Public Domain,Claude Lorrain,Oil painting of Jacob negotiating with Laban over his daughters amid an Italian landscape.,"Southern European, Italian, Neoclassicism",CE 1676,"Dulwich Picture Gallery, London, UK",Italy,Public Domain,"17th Century CE, Neoclassicism","landscape, Christianity",Painting
000179,Claude Lorrain: The Judgment of Paris,This oil painting shows a small cluster of figures in the foreground who represent the story of the Judgment of Paris; they stand in an extensive imaginary landscape modeled on the Italian countryside.,Public Domain,Claude Lorrain,"Oil painting showing the Judgment of Paris, set in an imaginary landscape modeled on the Italian countryside.","Southern European, Italian, Neoclassicism",CE 1645-1646,"National Gallery, Washington DC, USA",Italy,Public Domain,"17th Century CE, Neoclassicism","landscape, Greek mythology",Painting
000180,Claude Lorrian: View of La Crescenza,"This oil painting shows a castle in the distance, amid a landscape of the countryside surrounding Rome.",CC 1.0 Universal Public Domain,Claude Lorrain,"Oil painting showing a castle in the distance, amid a landscape of the countryside surrounding Rome","Southern European, Italian, Neoclassicism",CE 1648-1650,"The Metropolitan Museum of Art, New York, NY, USA","Lazio Region, Italy",CC 1.0 Universal Public Domain,"17th Century CE, Neoclassicism","lanscape, castle",Painting
000181,Cleomenes: Aphrodite (Medici Venus),"This carved stone statue of a female nude with wavy hair tied in a loose bun stands in a contrapposto pose, sheliding her breasts and pubis with her arms and hands as she looks toward her left. On the ground next to her left foot is a dolphin with a nude winged child on its back.  ","Artstor 2006, SCALA, Florence/ART RESOURCE, N.Y.",Cleomenes,Statue of a female figure using her arms to cover her breast and lower body with puti and fish figures at her feet.,"Ancient Greek, Hellenistic",BCE 100-1,"Galleria degli Uffizi, Florence, Italy","Rome, Italy","Artstor 2006, SCALA, Florence/ART RESOURCE, N.Y.","1st Century BCE, Hellenistic","Venus, Aphrodite",Sculpture
000182,Cliff Palace Mesa Verde Ancient Puebloan,Three towers linked by rock walls and supported by tiered rooms below are built under an overhanging south-facing cliff that shelters from the sky the ruins of this Ancient Puebloan city.,CC BY-SA 3.0  Greg Tally,Unknown,Three towers are linked by rock walls and supported by tiered rooms below. Above looms an overhanging cliff that shields the city from rain.,"Native North American, Ancestral Puebloan",CE 1190-1260,"Mesa Verde, CO, USA","Mesa Verde, CO, USA",CC BY-SA 3.0  Greg Tally,12-13th Century CE,Ancestral Puebloan,Architecture
000183,Close: Self-Portrait,"This work uses a somber palette of grays and browns to fill in a grid of squares with organic shapes resembling lozenges, donuts, and hot dogs. Together the shapes form a recognizable, head–and–shoulders portrait of the artist.","ArtStor: University of California, San Diego",Chuck Close,A face made up of grey and black grids of circles looks at the viewer.,"American, Postmodernism",CE 1991,"MoMA (Museum of Modern Art), New York City","New York, NY, United States","ArtStor: University of California, San Diego","20th Century CE, Postmodernism",self portrait,Painting
000184,Coatlicue,"A statue with a monstrous face with fangs at the top, a skull against spider-shaped hands in the middle, and writhing snakes covering the skirt/legs at the bottom.  The suggestions of a throne and a seated figure imply royalty or a deity.",CC BY-SA 3.0 Luidger,Unknown,"A monster sits on a throne, with writhing snakes below.","North American, Mexican, Mesoamerican, Aztec",CE 1500,"National Museum of Anthropology, Mexico City, Mexico","Tenochtitlan, Mexico City, Mexico",CC BY-SA 3.0 Luidger,16th Century CE,Aztec,Sculpture
000185,Codex Borgia page 28,"On a square sheet of velum, four rectangular quadrants are drawn, with a fifth in the center of the page. Each quadrant contains drawn and painted illustrations of a male hovering above a female. Each female wears an elaborate headdress but is otherwise naked. Each male is positioned in profile, with an open fanged mouth and a headdress identifying the deity he represents. All five male-female couples appear amid maize, an important Mesoamerican plant. Below each compartment are three rectangles each containing a glyph that identifies the date. ","© Foundation for the Advancement of Mesoamerican Studies, Inc. ",Unknown,Four boxed figures surround a central boxed figure. All five boxes show a male hovering above a female in an elaborate headdress. ,"North American, Mexican, Mesoamerican, Aztec",CE 1490,"Vatican Library, Vatican City","Mexico City, Mexico ","© Foundation for the Advancement of Mesoamerican Studies, Inc. ",15th Century CE,Aztec,Manuscript
000186,Codex Mendoza - The Founding of Tenochtitlán,"A rectangular page shows 51 square blue Aztec hieroglyphs framing the edges of the page. Two illustrated boxes appear inside the frame. The top box shows an eagle with wings outspread clutching a flowering cactus in its talons, bisected by an X-shape that shows in its four quadrants 10 human heads and torsos, each one labeled and shown in profile, along with plants and buildings. In the bottom box four warriors battle with spears and shields, while two small buildings appear on the right, one of them burning. ",Public Domain. Bodleian Library,Francisco Gualpuyogualcal (disputed) ,"On a square manuscript page, an eagle stands on a cactus growing in a lake. A box painted around it shows many seated figures in profile. ","North American, Mexican, Mesoamerican, Aztec",CE 1529-53,"Bodleian Library, Oxford, UK","Mexico City, Mexico ",Public Domain. Bodleian Library,16th Century CE,Aztec,Manuscript
000187,Cole: Imaginary Scene from The Last of the Mohicans: Cora Kneeling at the Feet of Tamenund,"View of a rugged landscape in the Hudson River Valley, with tiny human figures enacting a scene from James Fenimore Cooper's novel The Last of the Mohicans to show scale.",Public Domain,Thomas Cole,View of a rugged landscape in the Hudson River Valley,"American, Hudson River School, Romanticism",CE 1827,Wadsworth Atheneum Museum of Art,"Catskill, New York, USA",Public Domain,"19th Century CE, Romanticism","Mohican, landscape",Painting
000188,Colossal Statue of King Aspelta,The granite gneiss statue is over 10 ft tall and wears royal kilt and headdress. The king is in the striding position with one leg forward. Arms are held rigidly by the side. A long inscription runs down the back.,"ArtStor Museum of Fine Arts, Boston, Collection",Unknown,"A larger-than-life stone male figure wears a royal kilt and headdress, with one leg forward.","African, Nubian",BCE 593–568 ,"Museum of Fine Arts, Boston, USA","Sudan (Nubia), Gebel Barkal","ArtStor Museum of Fine Arts, Boston, Collection",6th Century BCE,Aspelta,Sculpture
000189,Colosseum (Flavian Amphitheater) Barrel Vault,Barrel Vault forming a corridor in the Roman Colosseum.,"CC BY 2.0 Generic, Bengt Nyman   ",Unknown,Barrel Vault forming a corridor in the Roman Colosseum.,"Ancient Roman, Imperial Roman",CE 72-80,"Rome, Italy","Rome, Italy","CC BY 2.0 Generic, Bengt Nyman   ","1st Century CE, Imperial Roman",Imperial Rome,Architecture
000190,Colosseum (Flavian Amphitheater) Exterior,"View of the exterior of the Colosseum, showing the most intact section of the structure; the top tier is missing around most of the rest of the building",CC BY-SA 2.0 Jerzy Strzelecki,Unknown,Repeated arches span a rounded wall.,"Ancient Roman, Imperial Roman",CE 72-80,"Rome, Italy","Rome, Italy",CC BY-SA 2.0 Jerzy Strzelecki,"1st Century CE, Imperial Roman",Imperial Rome,Architecture
000191,Colosseum (Flavian Amphitheater) Interior,"View of the interior of the Colosseum in Rome, showing the spectator seats and the central performance area.","CC BY-NC-SA 4.0 International, Kimberlym21 ",Unknown,Spectator seats ring a central performance area.,"Ancient Roman, Imperial Roman",CE 72-80,"Rome, Italy","Rome, Italy","CC BY-NC-SA 4.0 International, Kimberlym21 ","1st Century CE, Imperial Roman",Imperial Rome,Architecture
000192,Constable: Mary Freer,"This is an oil-on-canvas portrait of a young person with dark brown hair and rosy cheeks; her whitish skin and white short-sleeved dress are offset by the dark background.  The red of the coat and the golden hues of her hat, both held in her lap, complement the other hues. She looks directly at the viewer, and her expression is serious, perhaps tinged with melancholy.",Public Domain,John Constable,"A portrait of a brown-haired girl in a white dress, who holds a red coat and a gold hat in her lap.","Northern and Western European, British, Romanticism",CE 1809,"Yale Center for British Art, New Haven, CT, USA","London, England",Public Domain,"19th Century CE, Romanticism",portrait,Painting
000193,Constable: Somerset House Terrace from Waterloo Bridge,"Constable uses oil on canvas to illustrate a long ornate building on the left of the canvas at a strong diagonal, bringing the eye to the blurry cathedral dome that rises above the background cityscape and to the grey arched bridge that bisects the right side of the canvas. In the foreground, dots and lines of color represent boats on the greenish-grey water, and a blue-grey sky creates a heavy, chill effect.",Public Domain,John Constable,A building near a harbor with boats in it.  A cathedral and a blue sky are in the background.,"Northern and Western European, British, Romanticism",CE 1819,"Yale Center for British Art, New Haven, CT, USA","London, England",Public Domain,"19th Century CE, Romanticism","riverbank, cityscape",Painting
000194,Constable: The Hay Wain,"In the foreground, a small black and white dog looks at three horses who have stopped pulling their cart in a river that winds into the middle ground field and background row of trees; on the left is a cottage, and the blue and white of the sky dominates on the right side of the canvas.",Public Domain,John Constable,A team of horses pulls a wagon through a stream next to a house and a hayfield.,"Northern and Western European, British, Romanticism",CE 1821,"National Gallery, London","London, England",Public Domain,"19th Century CE, Romanticism",landscape,Painting
000195,Copán Ballcourt,"An aerial view of a T-shaped grassy playing field flanked by three masonry structures. The two long sides of the playing field, forming the stem of the T, are flanked by two walls with horizontal, vertical, and sloping surfaces. Across the top of the T-shaped playing field is a tiered structure that could have been used for audience seating. On top of all three structures are temple-shaped ruined structures.",CC BY-SA 2.0 Original image by Adalberto Hernandez Vega,Unknown,"An aerial view of a T-shaped grassy playing field flanked by three masonry structures. Walls flank both sides of the long axis, while across the top are ruins of stadium seating. ","Central American, Honduran, Mesoamerican, Mayan",CE 738,"Copán, Honduras","Copán, Honduras",CC BY-SA 2.0 Original image by Adalberto Hernandez Vega,8th Century CE,ball court,Architecture
000196,"Copley: The Death of Major Peirson, 6 January 1781",Large canvas showing a stricken British officer being carried off by his men while others engage the enemy in battle.,Creative Commons CC-BY-NC-ND (3.0 Unported),John Singleton Copley,Painting of the death of a British officer,"Northern and Western European, British, Neoclassicism, History Painting",CE 1783,"Tate Britain, London, UK","London, England",Creative Commons CC-BY-NC-ND (3.0 Unported),"18th Century CE, Neoclassicism",Major Francis Peirson,Painting
000197,Copley: Watson and the Shark,"This painting in oil on canvas shows a stormy sea, upon which is a rowboat next to a nude male in the water about to be attacked by a shark.  Two men reach from the boat to rescue the swimmer, while others row with the oars.  Two men stand in the bow of the boat, one with a spear-hook aimed at the shark, the other holding a rope that has been thrown to the swimmer.  Behind this dramatic scene are moored ships in a harbor, and the towers of a city. All gazes are directed toward the crisis in the water, and all faces register a range of intense expressions. Two from the boat are just about to save the boy by reaching his outstretched hand. The pyramidal composition of the men in the boat complements the horizontal lines created by the boy’s naked body and the huge gray shark in the greenish water as well as the serene background coastline.",Public Domain,John Singleton Copley,A rowboat on stormy waters is next to a nude man who is about to be attacked by a shark.,"Northern and Western European, British, Neoclassicism, History Painting",CE 1778,"National Gallery of Art, Washington, DC, USA","London, England",Public Domain,"18th Century CE, Neoclassicism",Brook Watson,Painting
000198,Copper alloy figure of Mars,"Copper alloy statuette with silver inlay showing the figure of the Roman god of war, Mars, in ceremonial armor.",CC BY-SA 3.0 © The Trustees of the British Museum,Unknown,"Copper alloy statuette showing the figure of the Roman god of war, Mars, in ceremonial armor.","Ancient Roman, Roman Britain, Imperial Roman",CE 100-200 ,"British Museum, London, G49/dc9",Roman Britain,CC BY-SA 3.0 © The Trustees of the British Museum,"2th-3rd Century CE, Roman Britain","Ares, Mars",Sculpture
000199,"Copper Seated Figure, from Tada","Made of copper, a seated shirtless male wears a patterned cloth and tools tied to its waist. The eyes are closed.  One foot and both hands are broken and missing.  ",Artstor: Italian and other European Art (Scala Archives),Unknown,A seated male in a patterned cloth and tools at his waist has his eyes closed.,"Western African, Nigerian, Yoruba",CE 1290,"National Museum, Lagos, Nigeria","Tada, Nupe, Niger River, Africa",Artstor: Italian and other European Art (Scala Archives),13th Century CE,Yoruba,Sculpture
000200,Coricancha (Temple of the Sun),"Built on two curved stone terraces is a Romanesque church with square turrets, an arched window, and a flat roof.",CC BY-SA 4.0 Diego Delso,Unknown,Two curved stone walls support a square masonry building with an arched window.,"South American, Peruvian, Mesoamerican, Incan",CE 1200-1300,"Cuzco, Peru","Cuzco, Peru",CC BY-SA 4.0 Diego Delso,13-14th Century CE,Inca,Architecture
000201,Correggio: Jupiter and Io,"This oil painting shows the nymph Io, nude, seated on a cushion. Her back is turned to the viewer and she is being embraced by a dark cloud in which the features of a man can be discerned.",Public Domain,Antonio da Correggio,Oil painting showing the nymph Iobeing embraced by a dark cloud in which the features of a man can be discerned.,"Southern European, Renaissance, Italian Renaissance",CE 1525-1534,"Kunsthistorisches Museum, Vienna, Austria","Mantua, Italy",Public Domain,"16th Century CE, Italian Renaissance",Jupiter,Painting
000202,Courbet: The Stone Breakers,"This oil-on-canvas painting shows a man wearing a hat kneeling on the right with a raised hammer, breaking large rocks into smaller ones.  On the left is a teenager wearing torn clothing holding a basket full of small rocks on his knee.  Behind the two rises a hill to the top of the frame, deeply shadowed.",CC0 1.0 Universal Public Domain,Jean Désiré Gustave Courbet,Two male figures are working on a hillside.,"Northern and Western European, French, Social Realism, Realism",CE 1849,Destroyed in WW2,"Paris, France",CC0 1.0 Universal Public Domain,"19th Century CE, Social Realism",peasants,Painting
000203,Court Official,A standing male sculpture is wrapped in a robe at the waist. He wears a round hat and a large cross around his neck. ,CC 1.0 Universal Public Domain,Unknown,A standing male sculpture wrapped in a robe at the waist. He wears a round hat and a large cross around his neck.,"Western African, Nigerian, Benin dynasty",CE 1500-1600,"The Metropolitan Museum of Art, New York, NY, USA",Nigeria OR Benin City,CC 1.0 Universal Public Domain,"16th Century CE, Benin dynasty",court official,Sculpture
000204,Creation of Man by Prometheus,A marble relief depicting Prometheus on the right creating man and Athena on the left endowing the newly created man with Psyche in the form of a butterfly.,CC 3.0 Unported Attribution Caroline Léna Becker,Unknown,A marble relief crowded with seated and standing figures shows a small man in the center.  ,"Ancient Roman, Late Antiquity, Imperial Roman",CE 201-300 ,"Louvre Museum, Paris, France",Rome,CC 3.0 Unported Attribution Caroline Léna Becker,"3rd Century CE, Imperial Rome",Prometheus,Sculpture
000205,Creek Man’s Shoulder Bag,"Against a black background, multicolored beads are stitched into the surface of a band attached at both ends to a purse-sized bag.  The designs are similar to floral and plant shapes.",Public Domain,Unknown,"Against a black ground, multicolored beads are stitched a shoulder band and a purse-sized bag.","American, Native American, Creek",CE 1810-1830,"The Detroit Institute of Arts, Michigan, USA","Georgia or Alabama, United States",Public Domain,19th Century CE,overall patterns,Clothing
000206,Crucifix,"This is a stylized image of Jesus nailed to a cross, with heads set on the cross bar and a man kneeling in prayer at the base",CC 1.0 Universal Public Domain,Unknown,"Stylized image of Jesus nailed to a cross, with heads set on the cross bar and a man kneeling in prayer at the base.","Central African, Congolese, Angolan",CE 1600,"The Metropolitan Museum of Art, New York, NY, USA",Angola OR Congo,CC 1.0 Universal Public Domain,17th Century CE,"Christianity, crucifixion",Sculpture
000207,Cuneiform tablet Inscribed with the Babylonian Flood Story Epic of Atra-Hasis in Akkadian,"Clay tablet, fragments, inscribed with cuneiform letters telling the Babylonian story of the flood, whose hero is named Atra-Hasis.",Artstor Digital Collection Art History Dept,Unknown,"Clay tablet, fragments, inscribed with cuneiform letters.","Middle Eastern, Mesopotamian, Babylonian",BCE 1646-1626 ,"Pierpont Morgan Library, NYC","Babylon, southern Mesopotamia, now Iraq",Artstor Digital Collection Art History Dept,"2nd Millennium BCE, Old Babylonian",Mesopotamian mythology,Cuneiform Tablet
000208,Cuneiform tablet with the Atrahasis Epic,"Clay tablet incised with cuneiform script. The bottom half and right upper quarter are missing, and the surface is damaged with chips.",CC BY-SA 3.0 © The Trustees of the British Museum,Unknown,Clay tablet incised with cuneiform script,"Middle Eastern, Mesopotamian, Babylonian",BCE 1635 ,"British Museum, London","Sippar, Babylon in southern Mesopotamia, now Iraq",CC BY-SA 3.0 © The Trustees of the British Museum,"2nd Millennium BCE, Old Babylonian",Mesopotamian mythology,Cuneiform Tablet
000209,"Cuneiform tablet, the Flood Tablet, relating part of the Epic of Gilgamesh","On a rectangular clay tablet, damaged in the upper right corner, two columns of cuneiform inscription cover both sides.",CC BY-SA 3.0 © The Trustees of the British Museum,Unknown,"On a rectangular clay tablet, damaged in the upper right corner, two columns of cuneiform inscription cover both sides.","Middle Eastern, Mesopotamian, Babylonian",BCE 650 ca.,"British Museum, London","Kouyunjik, Ancient Nineveh, now Iraq",CC BY-SA 3.0 © The Trustees of the British Museum,"7th Century BCE, Neo-Assyrian",Mesopotamian mythology,Cuneiform Tablet
000210,"Cuneiform tablet: a-she-er gi-ta, balag to Innin/Ishtar","A fragment of a clay tablet, inscribed with cuneiform letters on both sides",CC 1.0 Universal Public Domain,Unknown,"A fragment of a clay tablet, inscribed with cuneiform letters on both sides","Middle Eastern, Mesopotamian, Babylonian",BCE 100,"Metropolitan Museum of Art, New York, USA",Near East,CC 1.0 Universal Public Domain,"2nd Century BCE, Seleucid or Parthian","Innin, Ishtar",Cuneiform Tablet
000211,Cuneiform tablet: administrative account of barley distribution,"On a small square tablet made of clay, a scribe drew pictographs with a pointed implement using proto-cuneiform letters. This writing describes deliveries and distributions of grain such as barley and emmer wheat. (MMA website)",CC 1.0 Universal Public Domain,Unknown,"On a small square tablet made of clay, pictographs resembling letters","Middle Eastern, Mesopotamian, Sumerian",BCE 3100–2900 ca.,"Metropolitan Museum of Art, New York, USA ","Mesopotamia, probably from Uruk (modern Warka)",CC 1.0 Universal Public Domain,"3rd Millennium BCE, Sumerian",proto-cuneiform,Cuneiform Tablet
